"","ID","year","Midterm","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","R_majorvote_pct_lag","D_majorvote_pct_lag","president_party","Pres_D","Pres_R","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party","H_inc_D","H_inc_R","US_Unemployment.Rate","US_CPI","GDP_Growth_Pct","...1","STATENAME","DISTRICT","avg_rating","Close_E_D","LLS_R","LLS_D","St_AVG_R","cvap","RepVotes","DemVotes","RepVotesMajorPercent","DemVotesMajorPercent","Incumbent_R","Incumbent_D","Open_seat","voterTR","D_2012","D_2014","D_2016","D_2018","D_2020","MidtermE_D","PresE_D","st_cd_fips","est_cost_sum"
"1",1,1948,0,"United State",171,263,17,49560252,21613079,24762972,3184201,3149893,"D",43.61,49.97,6.42,46.6,53.4,NA,NA,"D",1,0,FALSE,46.6,"R",0,1,11.25,24.05,4.1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1950,1,"United State",199,234,16,44050445,20925177,20681636,2443632,243541,"R",47.5,46.95,5.55,50.29,49.71,46.6,53.4,"D",1,0,FALSE,49.71,"D",1,0,15.625,24.06,8.6865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1952,0,"United State",221,213,19,61803866,28860092,30255614,2688160,1395522,"D",46.7,48.95,4.35,48.82,51.18,50.29,49.71,"R",0,1,FALSE,48.82,"R",0,1,9.075,26.57,4.0885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1954,1,"United State",203,232,7,45251283,21092608,23223158,935517,2130550,"D",46.61,51.32,2.07,47.6,52.4,48.82,51.18,"R",0,1,TRUE,52.4,"D",1,0,16.775,26.87,-0.5784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,1956,0,"United State",201,234,9,62457894,29829376,31354867,1273651,1525491,"D",47.76,50.2,2.04,48.75,51.25,47.6,52.4,"R",0,1,TRUE,51.25,"D",1,0,12.375,27.19,2.1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,1958,1,"United State",153,283,11,46851436,20435025,24943266,1473145,4508241,"D",43.62,53.24,3.14,45.03,54.97,48.75,51.25,"R",0,1,TRUE,54.97,"D",1,0,20.525,28.88,-0.7408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,1960,0,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,45.03,54.97,"D",1,0,TRUE,54.35,"D",1,0,16.625,29.59,2.5734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,1962,1,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,45.65,54.35,"D",1,0,TRUE,52.87,"D",1,0,16.7,30.25,6.1271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,1964,0,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,47.13,52.87,"D",1,0,TRUE,57.27,"D",1,0,15.475,31.04,5.7613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,1966,1,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,42.73,57.27,"D",1,0,TRUE,50.86,"D",1,0,11.375,32.47,6.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
