ID,year,STATENAME,DISTRICT,avg_rating,Close_E_D,LLS_D,LLS_R,St_AVG_R,RepVotes,DemVotes,RepVotesMajorPercent,DemVotesMajorPercent,Incumbent_R,Incumbent_D,Open_seat,cvap,VTR,st_cd_fips,cycle,est_cost_sum,
1,2012,Arizona,1,4.1428571,0,1,0,0.1429,113594,122774,48.06,51.94,0,0,1,549353,0.430266149,401,2012,9017940,0.430266149
2,2012,Arizona,1,4.1428571,0,1,0,0.1429,113594,122774,48.06,51.94,0,0,1,549353,0.430266149,401,2014,15750695.7,
3,2012,Arizona,1,4.1428571,0,1,0,0.1429,113594,122774,48.06,51.94,0,0,1,549353,0.430266149,401,2016,3607340,
4,2012,Arizona,1,4.1428571,0,1,0,0.1429,113594,122774,48.06,51.94,0,0,1,549353,0.430266149,401,2018,2594290,
5,2012,Arizona,2,3.1428571,0,1,0,0.8571,144884,147338,49.58,50.42,0,1,0,539385,0.541768866,402,2012,2792690,
6,2012,Arizona,2,3.1428571,0,1,0,0.8571,144884,147338,49.58,50.42,0,1,0,539385,0.541768866,402,2014,10647365.2,
7,2012,Arizona,2,3.1428571,0,1,0,0.8571,144884,147338,49.58,50.42,0,1,0,539385,0.541768866,402,2016,2461500,
8,2012,Arizona,2,3.1428571,0,1,0,0.8571,144884,147338,49.58,50.42,0,1,0,539385,0.541768866,402,2018,3051920,
9,2012,Arizona,9,3.3571429,0,1,0,0.6429,111630,121881,47.81,52.19,0,0,1,544288,0.429021033,409,2012,7528820,
10,2012,Arizona,9,3.3571429,0,1,0,0.6429,111630,121881,47.81,52.19,0,0,1,544288,0.429021033,409,2014,4276881.3,
11,2012,Arizona,9,3.3571429,0,1,0,0.6429,111630,121881,47.81,52.19,0,0,1,544288,0.429021033,409,2016,1196600,
12,2012,Arizona,9,3.3571429,0,1,0,0.6429,111630,121881,47.81,52.19,0,0,1,544288,0.429021033,409,2018,1225160,
13,2012,Arkansas,1,6.8571429,0,0,1,2.8571,138800,96601,58.96,41.04,1,0,0,546407,0.430816223,501,2012,417270,
14,2012,Arkansas,1,6.8571429,0,0,1,2.8571,138800,96601,58.96,41.04,1,0,0,546407,0.430816223,501,2014,1760,
15,2012,Arkansas,4,6.7142857,0,0,1,2.7143,154149,95013,61.87,38.13,0,0,1,535460,0.465323273,504,2012,1220330,
16,2012,Arkansas,4,6.7142857,0,0,1,2.7143,154149,95013,61.87,38.13,0,0,1,535460,0.465323273,504,2014,1711100,
17,2012,Arkansas,4,6.7142857,0,0,1,2.7143,154149,95013,61.87,38.13,0,0,1,535460,0.465323273,504,2018,121150,
18,2012,California,3,1.9285714,1,0,0,2.0714,107086,126882,45.77,54.23,0,1,0,497300,0.470476573,603,2012,764420,
19,2012,California,3,1.9285714,1,0,0,2.0714,107086,126882,45.77,54.23,0,1,0,497300,0.470476573,603,2014,101180,
20,2012,California,3,1.9285714,1,0,0,2.0714,107086,126882,45.77,54.23,0,1,0,497300,0.470476573,603,2016,27980,
21,2012,California,7,3.8571429,0,1,0,0.1429,132050,141241,48.32,51.68,1,0,0,526910,0.518667325,607,2012,6844170,
22,2012,California,7,3.8571429,0,1,0,0.1429,132050,141241,48.32,51.68,1,0,0,526910,0.518667325,607,2014,7206780,
23,2012,California,7,3.8571429,0,1,0,0.1429,132050,141241,48.32,51.68,1,0,0,526910,0.518667325,607,2016,4549410,
24,2012,California,7,3.8571429,0,1,0,0.1429,132050,141241,48.32,51.68,1,0,0,526910,0.518667325,607,2018,391010,
25,2012,California,9,3.5,0,1,0,0.5,94704,118373,44.45,55.55,0,1,0,472835,0.450637114,609,2012,4246770,
26,2012,California,9,3.5,0,1,0,0.5,94704,118373,44.45,55.55,0,1,0,472835,0.450637114,609,2014,59660,
27,2012,California,10,4.3571429,0,1,0,0.3571,110265,98934,52.71,47.29,1,0,0,467771,0.447225245,610,2012,6826270,
28,2012,California,10,4.3571429,0,1,0,0.3571,110265,98934,52.71,47.29,1,0,0,467771,0.447225245,610,2014,195750,
29,2012,California,10,4.3571429,0,1,0,0.3571,110265,98934,52.71,47.29,1,0,0,467771,0.447225245,610,2016,4966340,
30,2012,California,10,4.3571429,0,1,0,0.3571,110265,98934,52.71,47.29,1,0,0,467771,0.447225245,610,2018,13744460,
31,2012,California,16,1.3571429,1,0,0,2.6429,62801,84649,42.59,57.41,0,1,0,402445,0.366385469,616,2012,681960,
32,2012,California,16,1.3571429,1,0,0,2.6429,62801,84649,42.59,57.41,0,1,0,402445,0.366385469,616,2014,280920,
33,2012,California,16,1.3571429,1,0,0,2.6429,62801,84649,42.59,57.41,0,1,0,402445,0.366385469,616,2016,221710,
34,2012,California,16,1.3571429,1,0,0,2.6429,62801,84649,42.59,57.41,0,1,0,402445,0.366385469,616,2018,567800,
35,2012,California,21,6.0714286,0,0,1,2.0714,67164,49119,57.76,42.24,0,0,1,350034,0.332204872,621,2012,1485770,
36,2012,California,21,6.0714286,0,0,1,2.0714,67164,49119,57.76,42.24,0,0,1,350034,0.332204872,621,2014,2616070,
37,2012,California,21,6.0714286,0,0,1,2.0714,67164,49119,57.76,42.24,0,0,1,350034,0.332204872,621,2016,3084210,
38,2012,California,21,6.0714286,0,0,1,2.0714,67164,49119,57.76,42.24,0,0,1,350034,0.332204872,621,2018,4353720,
39,2012,California,24,3.5,0,1,0,0.5,127746,156749,44.9,55.1,0,1,0,505763,0.56250655,624,2012,3233980,
40,2012,California,24,3.5,0,1,0,0.5,127746,156749,44.9,55.1,0,1,0,505763,0.56250655,624,2014,325520,
41,2012,California,24,3.5,0,1,0,0.5,127746,156749,44.9,55.1,0,1,0,505763,0.56250655,624,2016,1757250,
42,2012,California,24,3.5,0,1,0,0.5,127746,156749,44.9,55.1,0,1,0,505763,0.56250655,624,2018,728980,
43,2012,California,26,3.6428571,0,1,0,0.3571,124863,139072,47.31,52.69,0,0,1,468926,0.562850002,626,2012,296350,
44,2012,California,26,3.6428571,0,1,0,0.3571,124863,139072,47.31,52.69,0,0,1,468926,0.562850002,626,2014,3102370,
45,2012,California,36,4.3571429,0,1,0,0.3571,97953,110189,47.06,52.94,1,0,0,488389,0.42618077,636,2012,2996850,
46,2012,California,36,4.3571429,0,1,0,0.3571,97953,110189,47.06,52.94,1,0,0,488389,0.42618077,636,2014,2278580,
47,2012,California,36,4.3571429,0,1,0,0.3571,97953,110189,47.06,52.94,1,0,0,488389,0.42618077,636,2016,682880,
48,2012,California,36,4.3571429,0,1,0,0.3571,97953,110189,47.06,52.94,1,0,0,488389,0.42618077,636,2018,218730,
49,2012,California,41,3.0714286,0,1,0,0.9286,72074,103578,41.03,58.97,0,0,1,456205,0.38502866,NA,NA,NA,
50,2012,California,47,1.8928571,1,0,0,2.1071,99919,130093,43.44,56.56,0,0,1,475459,0.483768317,NA,NA,NA,
51,2012,California,52,3.8571429,0,1,0,0.1429,144459,151451,48.82,51.18,1,0,0,547077,0.540892781,652,2012,11777350,
52,2012,California,52,3.8571429,0,1,0,0.1429,144459,151451,48.82,51.18,1,0,0,547077,0.540892781,652,2014,13563380,
53,2012,California,52,3.8571429,0,1,0,0.1429,144459,151451,48.82,51.18,1,0,0,547077,0.540892781,652,2016,1891240,
54,2012,California,52,3.8571429,0,1,0,0.1429,144459,151451,48.82,51.18,1,0,0,547077,0.540892781,652,2018,433150,
55,2012,Colorado,3,5.25,0,0,1,1.25,185291,142920,56.45,43.55,1,0,0,551793,0.594808198,803,2012,3134970,
56,2012,Colorado,3,5.25,0,0,1,1.25,185291,142920,56.45,43.55,1,0,0,551793,0.594808198,803,2014,52360,
57,2012,Colorado,3,5.25,0,0,1,1.25,185291,142920,56.45,43.55,1,0,0,551793,0.594808198,803,2016,3334550,
58,2012,Colorado,3,5.25,0,0,1,1.25,185291,142920,56.45,43.55,1,0,0,551793,0.594808198,803,2018,1112470,
59,2012,Colorado,6,4.3571429,0,1,0,0.3571,163938,156937,51.09,48.91,1,0,0,538733,0.595610442,806,2012,8893360,
60,2012,Colorado,6,4.3571429,0,1,0,0.3571,163938,156937,51.09,48.91,1,0,0,538733,0.595610442,806,2014,10461160,
61,2012,Colorado,6,4.3571429,0,1,0,0.3571,163938,156937,51.09,48.91,1,0,0,538733,0.595610442,806,2016,8732220,
62,2012,Colorado,6,4.3571429,0,1,0,0.3571,163938,156937,51.09,48.91,1,0,0,538733,0.595610442,806,2018,13052140,
63,2012,Colorado,7,2.0714286,1,0,0,1.9286,139066,182460,43.25,56.75,0,1,0,555150,0.579169594,807,2012,7088060,
64,2012,Connecticut,4,1.1428571,1,0,0,2.8571,117503,175929,40.04,59.96,0,1,0,484035,0.606220625,NA,NA,NA,
65,2012,Connecticut,5,3.5714286,0,1,0,0.4286,138637,146098,48.69,51.31,0,0,1,515878,0.551942514,905,2012,8443280,
66,2012,Connecticut,5,3.5714286,0,1,0,0.4286,138637,146098,48.69,51.31,0,0,1,515878,0.551942514,905,2014,3603740,
67,2012,Connecticut,5,3.5714286,0,1,0,0.4286,138637,146098,48.69,51.31,0,0,1,515878,0.551942514,905,2016,375200,
68,2012,Connecticut,5,3.5714286,0,1,0,0.4286,138637,146098,48.69,51.31,0,0,1,515878,0.551942514,905,2018,258300,
69,2012,Florida,2,5.3928571,0,0,1,1.3929,175856,157634,52.73,47.27,1,0,0,559346,0.59621415,1202,2012,3342060,
70,2012,Florida,2,5.3928571,0,0,1,1.3929,175856,157634,52.73,47.27,1,0,0,559346,0.59621415,1202,2014,7295690.9,
71,2012,Florida,2,5.3928571,0,0,1,1.3929,175856,157634,52.73,47.27,1,0,0,559346,0.59621415,1202,2018,131300,
72,2012,Florida,9,1.6428571,1,0,0,2.3571,98856,164891,37.48,62.52,0,0,1,575460,0.458323776,1209,2012,1155880,
73,2012,Florida,9,1.6428571,1,0,0,2.3571,98856,164891,37.48,62.52,0,0,1,575460,0.458323776,1209,2014,25300,
74,2012,Florida,10,5,0,0,1,1,164649,153574,51.74,48.26,1,0,0,527540,0.603220609,1210,2012,4583610,
75,2012,Florida,13,6.5714286,0,0,1,2.5714,189605,139742,57.57,42.43,1,0,0,567936,0.579901609,1213,2012,296600,
76,2012,Florida,13,6.5714286,0,0,1,2.5714,189605,139742,57.57,42.43,1,0,0,567936,0.579901609,1213,2014,6293573.3,
77,2012,Florida,13,6.5714286,0,0,1,2.5714,189605,139742,57.57,42.43,1,0,0,567936,0.579901609,1213,2016,2390520,
78,2012,Florida,13,6.5714286,0,0,1,2.5714,189605,139742,57.57,42.43,1,0,0,567936,0.579901609,1213,2018,13770,
79,2012,Florida,16,5.9642857,0,0,1,1.9643,187147,161929,53.61,46.39,1,0,0,597649,0.584081961,1216,2012,1314970,
80,2012,Florida,16,5.9642857,0,0,1,1.9643,187147,161929,53.61,46.39,1,0,0,597649,0.584081961,1216,2014,13000,
81,2012,Florida,16,5.9642857,0,0,1,1.9643,187147,161929,53.61,46.39,1,0,0,597649,0.584081961,1216,2018,2916210,
82,2012,Florida,18,4.2857143,0,1,0,0.2857,164353,166257,49.71,50.29,1,0,0,570702,0.579304085,1218,2012,10422740,
83,2012,Florida,18,4.2857143,0,1,0,0.2857,164353,166257,49.71,50.29,1,0,0,570702,0.579304085,1218,2014,4132655,
84,2012,Florida,18,4.2857143,0,1,0,0.2857,164353,166257,49.71,50.29,1,0,0,570702,0.579304085,1218,2016,5842260,
85,2012,Florida,18,4.2857143,0,1,0,0.2857,164353,166257,49.71,50.29,1,0,0,570702,0.579304085,1218,2018,4766280,
86,2012,Florida,22,2.6071429,1,0,0,1.3929,142050,171021,45.37,54.63,0,0,1,526187,0.594980492,1222,2012,2432820,
87,2012,Florida,22,2.6071429,1,0,0,1.3929,142050,171021,45.37,54.63,0,0,1,526187,0.594980492,1222,2014,101000,
88,2012,Florida,26,2.9285714,1,0,0,1.0714,108820,135694,44.5,55.5,1,0,0,467186,0.523376129,1226,2012,157820,
89,2012,Florida,26,2.9285714,1,0,0,1.0714,108820,135694,44.5,55.5,1,0,0,467186,0.523376129,1226,2014,7285270,
90,2012,Florida,26,2.9285714,1,0,0,1.0714,108820,135694,44.5,55.5,1,0,0,467186,0.523376129,1226,2016,8493980,
91,2012,Florida,26,2.9285714,1,0,0,1.0714,108820,135694,44.5,55.5,1,0,0,467186,0.523376129,1226,2018,14080920,
92,2012,Georgia,12,3.8571429,0,1,0,0.1429,119973,139148,46.3,53.7,0,1,0,531858,0.487199591,1312,2012,10985660,
93,2012,Georgia,12,3.8571429,0,1,0,0.1429,119973,139148,46.3,53.7,0,1,0,531858,0.487199591,1312,2014,11325870,
94,2012,Georgia,12,3.8571429,0,1,0,0.1429,119973,139148,46.3,53.7,0,1,0,531858,0.487199591,1312,2018,136370,
95,2012,Illinois,8,2.3214286,1,0,0,1.6786,101860,123206,45.26,54.74,1,0,0,448181,0.502176576,1708,2012,12827090,
96,2012,Illinois,8,2.3214286,1,0,0,1.6786,101860,123206,45.26,54.74,1,0,0,448181,0.502176576,1708,2014,116100,
97,2012,Illinois,8,2.3214286,1,0,0,1.6786,101860,123206,45.26,54.74,1,0,0,448181,0.502176576,1708,2016,767470,
98,2012,Illinois,8,2.3214286,1,0,0,1.6786,101860,123206,45.26,54.74,1,0,0,448181,0.502176576,1708,2018,522170,
99,2012,Illinois,10,3.9285714,0,1,0,0.0714,130564,133890,49.37,50.63,1,0,0,462773,0.571455119,1710,2012,15097850,
100,2012,Illinois,10,3.9285714,0,1,0,0.0714,130564,133890,49.37,50.63,1,0,0,462773,0.571455119,1710,2014,14711950,
101,2012,Illinois,10,3.9285714,0,1,0,0.0714,130564,133890,49.37,50.63,1,0,0,462773,0.571455119,1710,2016,14959030,
102,2012,Illinois,10,3.9285714,0,1,0,0.0714,130564,133890,49.37,50.63,1,0,0,462773,0.571455119,1710,2018,1192350,
103,2012,Illinois,11,3.3571429,0,1,0,0.6429,105348,148928,41.43,58.57,1,0,0,467647,0.543734911,1711,2012,13699150,
104,2012,Illinois,11,3.3571429,0,1,0,0.6429,105348,148928,41.43,58.57,1,0,0,467647,0.543734911,1711,2014,179400,
105,2012,Illinois,12,3.8571429,0,1,0,0.1429,129902,157000,45.28,54.72,0,0,1,533604,0.537668383,1712,2012,6496540,
106,2012,Illinois,12,3.8571429,0,1,0,0.1429,129902,157000,45.28,54.72,0,0,1,533604,0.537668383,1712,2014,9653240,
107,2012,Illinois,12,3.8571429,0,1,0,0.1429,129902,157000,45.28,54.72,0,0,1,533604,0.537668383,1712,2016,1106430,
108,2012,Illinois,12,3.8571429,0,1,0,0.1429,129902,157000,45.28,54.72,0,0,1,533604,0.537668383,1712,2018,6112360,
109,2012,Illinois,13,4.0714286,0,1,0,0.0714,137034,136032,50.18,49.82,0,0,1,540956,0.504784123,1713,2012,5456500,
110,2012,Illinois,13,4.0714286,0,1,0,0.0714,137034,136032,50.18,49.82,0,0,1,540956,0.504784123,1713,2014,1531936.7,
111,2012,Illinois,13,4.0714286,0,1,0,0.0714,137034,136032,50.18,49.82,0,0,1,540956,0.504784123,1713,2016,120840,
112,2012,Illinois,13,4.0714286,0,1,0,0.0714,137034,136032,50.18,49.82,0,0,1,540956,0.504784123,1713,2018,4912400,
113,2012,Illinois,17,3.5,0,1,0,0.5,134623,153519,46.72,53.28,1,0,0,514978,0.559522931,1717,2012,7031000,
114,2012,Illinois,17,3.5,0,1,0,0.5,134623,153519,46.72,53.28,1,0,0,514978,0.559522931,1717,2014,2630000,
115,2012,Illinois,17,3.5,0,1,0,0.5,134623,153519,46.72,53.28,1,0,0,514978,0.559522931,1717,2016,334910,
116,2012,Illinois,17,3.5,0,1,0,0.5,134623,153519,46.72,53.28,1,0,0,514978,0.559522931,1717,2018,557100,
117,2012,Indiana,2,5.2857143,0,0,1,1.2857,134033,130113,50.74,49.26,0,0,1,521068,0.506931917,1802,2012,2562190,
118,2012,Indiana,2,5.2857143,0,0,1,1.2857,134033,130113,50.74,49.26,0,0,1,521068,0.506931917,1802,2014,763770,
