ID,year,Midterm,AreaAll,R_seats,D_seats,Other_seats,total_votes,R_votes,D_votes,Other_votes,winning_vote_margin,winner_party,R_totalvote_pct,D_totalvote_pct,Other_totalvote_pct,R_majorvote_pct,D_majorvote_pct,R_majorvote_pct_lag,D_majorvote_pct_lag,president_party,Pres_D,Pres_R,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,H_incumbent_party,H_inc_D,H_inc_R,US_Unemployment_Rate,US_CPI,GDP_Growth_Pct
1,1948,0,United State,171,263,17,49560252,21613079,24762972,3184201,3149893,D,43.61,49.97,6.42,46.6,53.4,,,D,1,0,FALSE,46.6,R,0,1,11.25,24.05,4.1133
2,1950,1,United State,199,234,16,44050445,20925177,20681636,2443632,243541,R,47.5,46.95,5.55,50.29,49.71,46.6,53.4,D,1,0,FALSE,49.71,D,1,0,15.625,24.06,8.6865
3,1952,0,United State,221,213,19,61803866,28860092,30255614,2688160,1395522,D,46.7,48.95,4.35,48.82,51.18,50.29,49.71,R,0,1,FALSE,48.82,R,0,1,9.075,26.57,4.0885
4,1954,1,United State,203,232,7,45251283,21092608,23223158,935517,2130550,D,46.61,51.32,2.07,47.6,52.4,48.82,51.18,R,0,1,TRUE,52.4,D,1,0,16.775,26.87,-0.5784
5,1956,0,United State,201,234,9,62457894,29829376,31354867,1273651,1525491,D,47.76,50.2,2.04,48.75,51.25,47.6,52.4,R,0,1,TRUE,51.25,D,1,0,12.375,27.19,2.1312
6,1958,1,United State,153,283,11,46851436,20435025,24943266,1473145,4508241,D,43.62,53.24,3.14,45.03,54.97,48.75,51.25,R,0,1,TRUE,54.97,D,1,0,20.525,28.88,-0.7408
7,1960,0,United State,175,262,5,65678881,29445993,35060186,1172702,5614193,D,44.83,53.38,1.79,45.65,54.35,45.03,54.97,D,1,0,TRUE,54.35,D,1,0,16.625,29.59,2.5734
8,1962,1,United State,176,258,5,62760124,29161465,32713542,885117,3552077,D,46.46,52.12,1.41,47.13,52.87,45.65,54.35,D,1,0,TRUE,52.87,D,1,0,16.7,30.25,6.1271
9,1964,0,United State,140,295,4,73565373,30997556,41545599,1022218,10548043,D,42.14,56.47,1.39,42.73,57.27,47.13,52.87,D,1,0,TRUE,57.27,D,1,0,15.475,31.04,5.7613
10,1966,1,United State,187,248,3,53199376,25700061,26596037,903278,895976,D,48.31,49.99,1.7,49.14,50.86,42.73,57.27,D,1,0,TRUE,50.86,D,1,0,11.375,32.47,6.596
11,1968,0,United State,192,243,0,66455377,32183586,33395717,876074,1212131,D,48.43,50.25,1.32,49.08,50.92,49.14,50.86,R,0,1,TRUE,50.92,D,1,0,10.675,34.79,4.9156
12,1970,1,United State,180,255,0,54147415,24414855,28921540,811020,4506685,D,45.09,53.41,1.5,45.78,54.22,49.08,50.92,R,0,1,TRUE,54.22,D,1,0,14.95,38.84,0.186
13,1972,0,United State,192,242,1,71254917,33160947,37120058,973912,3959111,D,46.54,52.09,1.37,47.18,52.82,45.78,54.22,R,0,1,TRUE,52.82,D,1,0,16.8,41.81,5.2589
14,1974,1,United State,144,291,0,52324462,21286921,30089520,948021,8802599,D,40.68,57.51,1.81,41.43,58.57,47.18,52.82,R,0,1,TRUE,58.57,D,1,0,16.925,49.32,-0.5405
15,1976,0,United State,143,292,0,74256718,31241822,41742193,1272703,10500371,D,42.07,56.21,1.71,42.81,57.19,41.43,58.57,D,1,0,TRUE,57.19,D,1,0,23.1,56.93,5.3881
16,1978,1,United State,158,277,0,55261245,24891165,29587800,782280,4696635,D,45.04,53.54,1.42,45.69,54.31,42.81,57.19,D,1,0,TRUE,54.31,D,1,0,18.2,65.24,5.5353
17,1980,0,United State,192,242,1,77865321,37320299,39289061,1255961,1968762,D,47.93,50.46,1.61,48.72,51.28,45.69,54.31,R,0,1,TRUE,51.28,D,1,0,21.525,82.38,-0.2568
18,1982,1,United State,166,269,1,64362196,27796580,35588614,977002,7792034,D,43.19,55.29,1.52,43.85,56.15,48.72,51.28,R,0,1,TRUE,56.15,D,1,0,29.125,96.53,-1.8029
19,1984,0,United State,182,253,0,82995246,38894020,43371948,729278,4477928,D,46.86,52.26,0.88,47.28,52.72,43.85,56.15,R,0,1,TRUE,52.72,D,1,0,22.525,103.93,7.2366
20,1986,1,United State,177,258,0,59899733,26599585,32758176,541972,6158591,D,44.41,54.69,0.9,44.81,55.19,47.28,52.72,R,0,1,TRUE,55.19,D,1,0,21,109.69,3.4626
21,1988,0,United State,175,260,0,82022316,37305980,43793276,923060,6487296,D,45.48,53.39,1.13,46,54,44.81,55.19,R,0,1,TRUE,54,D,1,0,16.475,118.28,4.1771
22,1990,1,United State,167,267,1,62407173,28052184,33052166,1302823,4999982,D,44.95,52.96,2.09,45.91,54.09,46,54,R,0,1,TRUE,54.09,D,1,0,16.85,130.66,1.886
23,1992,0,United State,176,258,1,95216606,43257458,48511831,3447317,5254373,D,45.43,50.95,3.62,47.14,52.86,45.91,54.09,D,1,0,TRUE,52.86,D,1,0,22.475,140.31,3.5224
24,1994,1,United State,230,204,1,70763202,37099921,32124517,1538764,4975404,R,52.43,45.4,2.17,53.59,46.41,47.14,52.86,D,1,0,FALSE,46.41,D,1,0,18.3,148.23,4.0288
25,1996,0,United State,226,207,2,88217606,42842236,43110112,2265258,267876,D,48.56,48.87,2.57,49.84,50.16,53.59,46.41,D,1,0,FALSE,49.84,R,0,1,16.225,156.86,3.7725
26,1998,1,United State,223,211,1,65896772,32254557,31482036,2160179,772521,R,48.95,47.77,3.28,50.61,49.39,49.84,50.16,D,1,0,FALSE,49.39,D,1,0,13.5,163.01,4.4814
27,2000,0,United State,221,212,2,97226268,46954281,46520851,3751136,433430,R,48.29,47.85,3.86,50.23,49.77,50.61,49.39,R,0,1,TRUE,50.23,R,0,1,11.9,172.19,4.1275
28,2002,1,United State,229,204,1,73449133,37387921,33758288,2302924,3629633,R,50.9,45.96,3.14,52.55,47.45,50.23,49.77,R,0,1,TRUE,52.55,R,0,1,17.35,179.87,1.7417
29,2004,0,United State,232,202,1,111619190,55956623,52971423,2691144,2985200,R,50.13,47.46,2.41,51.37,48.63,52.55,47.45,R,0,1,TRUE,51.37,R,0,1,16.625,188.91,3.7989
30,2006,1,United State,202,233,0,80051355,35884573,42281320,1885462,6396747,D,44.83,52.82,2.36,45.91,54.09,51.37,48.63,R,0,1,FALSE,45.91,R,0,1,13.825,201.56,2.855
31,2008,0,United State,178,256,0,120720320,52187151,65247248,3285921,13060097,D,43.23,54.05,2.72,44.44,55.56,45.91,54.09,D,1,0,TRUE,55.56,D,1,0,17.4,215.25,-0.1366
32,2010,1,United State,242,193,0,83583446,43288427,37663261,2631758,5625166,R,51.79,45.06,3.15,53.47,46.53,44.44,55.56,D,1,0,FALSE,46.53,D,1,0,28.825,218.08,2.5638
33,2012,0,United State,234,200,0,121136773,58141241,59586011,3409521,1444770,D,48,49.19,2.81,49.39,50.61,53.47,46.53,D,1,0,FALSE,49.39,R,0,1,24.225,229.59,2.2495
34,2014,1,United State,247,188,0,77889271,40029863,35628989,2230419,4400874,R,51.39,45.74,2.86,52.91,47.09,49.39,50.61,D,1,0,FALSE,47.09,D,1,0,18.475,236.72,2.526
35,2016,0,United State,241,194,0,128377310,62977862,61730626,3668822,1247236,R,49.06,48.09,2.86,50.5,49.5,52.91,47.09,R,0,1,TRUE,50.5,R,0,1,14.625,239.99,1.7114
36,2018,1,United State,199,235,0,113985831,51117086,60860585,2008160,9743499,D,44.85,53.39,1.76,45.65,54.35,50.5,49.5,R,0,1,FALSE,45.65,R,0,1,11.675,251.1,2.9965
37,2020,0,United State,212,222,0,152701256,72916809,77430912,2353535,4514103,D,47.75,50.71,1.54,48.5,51.5,45.65,54.35,D,1,0,TRUE,51.5,D,1,0,24.35,258.82,3.2734
