ID,STATENAME,DISTRICT,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
1,Alaska,0,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
2,Alabama,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
3,Alabama,2,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
4,Alabama,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
5,Alabama,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
6,Alabama,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
7,Alabama,6,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
8,Alabama,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
9,Arkansas,1,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
10,Arkansas,2,Likely Republican,6,Likely Republican,6,Lean Republican,5,5.666666667
11,Arkansas,3,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
12,Arkansas,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
13,Arizona,1,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
14,Arizona,2,Lean Democratic,3,Lean Democratic,3,Likely Democratic,2,2.666666667
15,Arizona,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
16,Arizona,4,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
17,Arizona,5,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
18,Arizona,6,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
19,Arizona,7,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
20,Arizona,8,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
21,Arizona,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
22,California,1,Likely Republican,6,Solid Republican,7,Safe Republican,7,6.666666667
23,California,2,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
24,California,3,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
25,California,4,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
26,California,5,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
27,California,6,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
28,California,7,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
29,California,8,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
30,California,9,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
31,California,10,Toss up,4,Toss up,4,Lean Democratic,3,3.666666667
32,California,11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
33,California,12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
34,California,13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
35,California,14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
36,California,15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
37,California,16,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
38,California,17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
39,California,18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
40,California,19,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
41,California,20,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
42,California,21,Likely Republican,6,Likely Republican,6,Lean Republican,5,5.666666667
43,California,22,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
44,California,23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
45,California,24,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
46,California,25,Toss up,4,Toss up,4,Lean Republican,5,4.333333333
47,California,26,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
48,California,27,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
49,California,28,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
50,California,29,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
51,California,30,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
52,California,31,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
53,California,32,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
54,California,33,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
55,California,34,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
